model,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_interval,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank
E5-Instruct,0.5476215524144578,0.9443521679768644,0.8320709142232898,0.3,"[0.3, 0.6]",0.3,0.6,0.3,1,1,1,1.0
GTE,0.5434457337028165,0.941532606333912,0.8297292078315064,0.8,"[0.7, 1.2]",0.7,1.2,0.5,2,3,2,2.3333333333333335
Jina v3,0.5392697835997575,0.9419470680371276,0.8283258514644593,0.6,"[0.5, 1.1]",0.5,1.1,0.6000000000000001,3,2,3,2.6666666666666665
BGE-M3,0.5349986249108233,0.9387385500352916,0.8249243682869358,0.9,"[0.8, 1.5]",0.8,1.5,0.7,4,4,4,4.0
E5,0.5243654457074528,0.9346317442257228,0.8185786273679581,0.5,"[0.5, 0.7]",0.5,0.7,0.19999999999999996,5,5,5,5.0
Nomic v2,0.5217772750597267,0.9344785490843068,0.8179190680516808,1.0,"[0.9, 1.5]",0.9,1.5,0.6,6,6,6,6.0
Qwen3,0.5162657909316835,0.934099873273033,0.8155712111139842,0.7,"[0.5, 1.4]",0.5,1.4,0.8999999999999999,7,7,7,7.0
E5-Asym,0.5048287221749161,0.9281417757361862,0.8095780386796183,0.6,"[0.5, 1.3]",0.5,1.3,0.8,8,9,8,8.333333333333334
SBERT,0.5045724763887703,0.9288491256448396,0.8093528215698,1.1,"[0.9, 2.1]",0.9,2.1,1.2000000000000002,9,8,9,8.666666666666666
E5-Asym-Instruct,0.4890296240370038,0.9210027248680572,0.7977484466795751,0.8,"[0.5, 2.1]",0.5,2.1,1.6,10,10,10,10.0
