Qu1,Qu2,ID1,ID2,Distance,Type
"Should the federal government spend more or less in the area of ""Public transport""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",32284,32285,0.2839595820585368,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""National defence""?",32286,32287,0.2960136365584607,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public transport""?","Should the federal government spend more or less in the area of ""Public security""?",32284,32286,0.2976461734217531,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Public security""?",32281,32286,0.3011460507177789,Real-Symmetric
"Should the federal government spend more or less in the area of ""Agriculture""?","Should the federal government spend more or less in the area of ""Development assistance""?",32283,32288,0.3106443624007322,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Development assistance""?",32281,32288,0.31930793849444344,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Public transport""?",32281,32284,0.3211383872087136,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Agriculture""?",32281,32283,0.3255517970299634,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Agriculture""?",32282,32283,0.33244083050162015,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Development assistance""?",32282,32288,0.33980726725871524,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""National defence""?",32281,32287,0.34196581343950205,Real-Symmetric
"Should the federal government spend more or less in the area of ""National defence""?","Should the federal government spend more or less in the area of ""Development assistance""?",32287,32288,0.342365598273044,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Education and research""?",32281,32282,0.3475468495574792,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Public transport""?",32282,32284,0.3485733109675732,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public transport""?","Should the federal government spend more or less in the area of ""National defence""?",32284,32287,0.3513993626484006,Real-Symmetric
"Should the federal government spend more or less in the area of ""Agriculture""?","Should the federal government spend more or less in the area of ""Public transport""?",32283,32284,0.35319782957660845,Real-Symmetric
"Should the federal government spend more or less in the area of ""Agriculture""?","Should the federal government spend more or less in the area of ""National defence""?",32283,32287,0.3572400573884531,Real-Symmetric
"Should the federal government spend more or less in the area of ""Agriculture""?","Should the federal government spend more or less in the area of ""Public security""?",32283,32286,0.36096536107718563,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public transport""?","Should the federal government spend more or less in the area of ""Development assistance""?",32284,32288,0.36223278720311747,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Public security""?",32282,32286,0.3625462798468945,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""National defence""?",32282,32287,0.3628879181562798,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""Development assistance""?",32286,32288,0.3645762669922996,Real-Symmetric
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,32268,32272,0.3736059981842803,Real-Symmetric
