model,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_interval,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank
E5-Instruct,0.6564163179032254,0.9676248409996636,0.8792475070478464,0.3,"[0.3, 0.4]",0.3,0.4,0.10000000000000003,1,1,1,1.0
Jina v3,0.643696604579703,0.9656304238919388,0.8746598002552313,0.6,"[0.5, 0.7]",0.5,0.7,0.19999999999999996,2,2,2,2.0
GTE,0.6218181327468293,0.96096274166655,0.8652673699249772,0.7,"[0.6, 0.9]",0.6,0.9,0.30000000000000004,3,3,3,3.0
Qwen3,0.6206695538478896,0.9596497114969788,0.8632696483218115,0.6,"[0.5, 0.8]",0.5,0.8,0.30000000000000004,4,4,4,4.0
BGE-M3,0.6196685827078257,0.959207013711616,0.8624179638260857,0.9,"[0.7, 1.2]",0.7,1.2,0.5,5,5,5,5.0
SBERT,0.5876246986558707,0.9548936813366168,0.8522571898140258,1.0,"[0.8, 1.5]",0.8,1.5,0.7,6,6,6,6.0
E5,0.581774474027172,0.9526116388477244,0.8481069772941469,0.5,"[0.4, 0.7]",0.4,0.7,0.29999999999999993,8,7,7,7.333333333333333
Nomic v2,0.5864295239147683,0.9512991499957164,0.8474958888146448,1.0,"[0.9, 1.4]",0.9,1.4,0.4999999999999999,7,8,8,7.666666666666667
E5-Asym,0.557397733316205,0.9452255192734524,0.8363975051162947,0.6,"[0.5, 0.9]",0.5,0.9,0.4,9,9,9,9.0
E5-Asym-Instruct,0.4953024870729102,0.9229153832572652,0.8009154246586496,0.8,"[0.6, 1.5]",0.6,1.5,0.9,10,10,10,10.0
