model,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_interval,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank
E5-Instruct,0.5405602357607246,0.941958622109405,0.828067775708946,0.4,"[0.3, 0.6]",0.3,0.6,0.3,1,1,1,1.0
Jina v3,0.5292362440412557,0.9381885198178646,0.8214830717664681,0.6,"[0.5, 1.0]",0.5,1.0,0.5,2,2,2,2.0
GTE,0.5208510552830025,0.9342372768544124,0.8168662202746443,0.8,"[0.7, 1.3]",0.7,1.3,0.6000000000000001,5,3,3,3.6666666666666665
BGE-M3,0.5228606589471255,0.9338752927144368,0.816592664764759,0.9,"[0.8, 1.5]",0.8,1.5,0.7,3,5,4,4.0
Qwen3,0.5211764345399192,0.934057933856879,0.8160133059057438,0.7,"[0.6, 1.0]",0.6,1.0,0.4,4,4,5,4.333333333333333
E5,0.5098946532557531,0.9294850401458332,0.8100532687001094,0.5,"[0.5, 0.7]",0.5,0.7,0.19999999999999996,6,6,6,6.0
Nomic v2,0.5034758771997077,0.9278022959220156,0.8070253651499857,1.1,"[0.9, 1.8]",0.9,1.8,0.9,7,7,7,7.0
SBERT,0.5002843524298625,0.9258507208528364,0.8043918265286981,1.1,"[1.0, 2.1]",1.0,2.1,1.1,8,8,8,8.0
E5-Asym,0.4817742645501515,0.9191692894764084,0.7945392734937952,0.8,"[0.6, 1.8]",0.6,1.8,1.2000000000000002,9,9,9,9.0
E5-Asym-Instruct,0.4809230262200833,0.9160414687167094,0.7902177020337331,0.7,"[0.5, 1.4]",0.5,1.4,0.8999999999999999,10,10,10,10.0
