Qu1,Qu2,ID1,ID2,Distance,Type,rank_type,pair_type,cat1,cat2
"Is it your opinion that insured individuals ought to bear a greater portion of healthcare costs, perhaps by elevating the minimum deductible?","Do you support insured members taking on higher healthcare expenses, for example, through a higher minimum deductible?",41222103,41222104,0.0,Real-Symmetric,closest,clone-clone,Health,Health
"Do you support an increase in the retirement age (e.g., to 67)?","Are you in favor of raising the retirement age, such as to 67 years?",32214,41214101,0.0,Real-Symmetric,closest,clone-source,Welfare state & family,Welfare state & family
"Do you think that the requirements for obtaining Swiss citizenship should be eased, such as by reducing the necessary length of residency?","Should the process for acquiring Swiss citizenship be simplified, potentially by decreasing the length of time residency is required?",41228101,41228104,0.0,Real-Symmetric,closest,clone-clone,Immigration & integration,Immigration & integration
"Do you think that the requirements for obtaining Swiss citizenship should be eased, such as by reducing the necessary length of residency?","Do you believe the qualifications for Swiss naturalization should be loosened, perhaps by lowering the residency duration needed?",41228101,41228103,0.0,Real-Symmetric,closest,clone-clone,Immigration & integration,Immigration & integration
"Do you think that the requirements for obtaining Swiss citizenship should be eased, such as by reducing the necessary length of residency?","Should the criteria for becoming a naturalized citizen in Switzerland be made less strict, for instance by shortening the required residency duration?",41228101,41228102,0.0,Real-Symmetric,closest,clone-clone,Immigration & integration,Immigration & integration
"Should a third official gender be introduced alongside ""female"" and ""male""?","Is the establishment of a third official gender, alongside 'female' and 'male,' something you support?",32234,41234103,0.0,Real-Symmetric,closest,clone-source,Society & ethics,Society & ethics
"Should a third official gender be introduced alongside ""female"" and ""male""?",Should there be an official recognition of a third gender category besides 'female' and 'male'?,32234,41234102,0.0,Real-Symmetric,closest,clone-source,Society & ethics,Society & ethics
"Should a third official gender be introduced alongside ""female"" and ""male""?",Do you support the introduction of a third official gender category in addition to 'female' and 'male'?,32234,41234101,0.0,Real-Symmetric,closest,clone-source,Society & ethics,Society & ethics
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","Do you think that the requirements for obtaining Swiss citizenship should be eased, such as by reducing the necessary length of residency?",32228,41228101,0.0,Real-Symmetric,closest,clone-source,Immigration & integration,Immigration & integration
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","Should the criteria for becoming a naturalized citizen in Switzerland be made less strict, for instance by shortening the required residency duration?",32228,41228102,0.0,Real-Symmetric,closest,clone-source,Immigration & integration,Immigration & integration
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","Do you believe the qualifications for Swiss naturalization should be loosened, perhaps by lowering the residency duration needed?",32228,41228103,0.0,Real-Symmetric,closest,clone-source,Immigration & integration,Immigration & integration
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","Should the process for acquiring Swiss citizenship be simplified, potentially by decreasing the length of time residency is required?",32228,41228104,0.0,Real-Symmetric,closest,clone-source,Immigration & integration,Immigration & integration
"Are you in favor of raising the retirement age, such as to 67 years?","Do you agree with increasing the age of retirement, for instance, to 67?",41214101,41214102,0.0,Real-Symmetric,closest,clone-clone,Welfare state & family,Welfare state & family
"Are you in favor of raising the retirement age, such as to 67 years?","Would you endorse elevating the retirement age, potentially to 67?",41214101,41214103,0.0,Real-Symmetric,closest,clone-clone,Welfare state & family,Welfare state & family
"Are you in favor of raising the retirement age, such as to 67 years?","Would you support setting the retirement age higher, like 67?",41214101,41214104,0.0,Real-Symmetric,closest,clone-clone,Welfare state & family,Welfare state & family
"Do you agree with increasing the age of retirement, for instance, to 67?","Would you endorse elevating the retirement age, potentially to 67?",41214102,41214103,0.0,Real-Symmetric,closest,clone-clone,Welfare state & family,Welfare state & family
"Do you agree with increasing the age of retirement, for instance, to 67?","Would you support setting the retirement age higher, like 67?",41214102,41214104,0.0,Real-Symmetric,closest,clone-clone,Welfare state & family,Welfare state & family
"Would you support the popular initiative that seeks to reduce the fees for television and radio to CHF 200 per household, excluding businesses from paying?","Do you agree with the proposal of a popular initiative to decrease the radio and television fees to CHF 200 per household, while exempting businesses from this charge?",41261103,41261104,0.0,Real-Symmetric,closest,clone-clone,"Democracy, Media & Digitalization","Democracy, Media & Digitalization"
"Would you endorse elevating the retirement age, potentially to 67?","Would you support setting the retirement age higher, like 67?",41214103,41214104,0.0,Real-Symmetric,closest,clone-clone,Welfare state & family,Welfare state & family
"Do you back the proposal of a popular initiative to lower the television and radio fees to CHF 200 per household, while exempting businesses?","Are you in favor of the popular initiative that proposes cutting radio and television fees to CHF 200 per household, with businesses being exempt?",41261101,41261102,0.0,Real-Symmetric,closest,clone-clone,"Democracy, Media & Digitalization","Democracy, Media & Digitalization"
"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,32252,32263,0.9981304908100787,Real-Symmetric,furthest,original-original,Nature conservation,"Democracy, Media & Digitalization"
"Are you in favor of expanding the army's target number of soldiers to at least 120,000?","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",32264,32278,0.998247881702194,Real-Symmetric,furthest,original-original,Security & military,Values
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],32248,32256,0.99827801396273,Real-Symmetric,furthest,original-original,Energy & transport,Nature conservation
Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""",32258,32274,0.9984361144456769,Real-Symmetric,furthest,original-original,"Democracy, Media & Digitalization",Values
"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""","Are you in favor of the popular initiative that proposes cutting radio and television fees to CHF 200 per household, with businesses being exempt?",32278,41261102,0.9986060953736366,Real-Symmetric,furthest,clone-other,Values,"Democracy, Media & Digitalization"
"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""","Do you back the proposal of a popular initiative to lower the television and radio fees to CHF 200 per household, while exempting businesses?",32278,41261101,0.9986060953736366,Real-Symmetric,furthest,clone-other,Values,"Democracy, Media & Digitalization"
"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""","Would you support the popular initiative that seeks to reduce the fees for television and radio to CHF 200 per household, excluding businesses from paying?",32278,41261103,0.9986060953736366,Real-Symmetric,furthest,clone-other,Values,"Democracy, Media & Digitalization"
"A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",32261,32278,0.9986060953736366,Real-Symmetric,furthest,original-original,"Democracy, Media & Digitalization",Values
"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""","Do you agree with the proposal of a popular initiative to decrease the radio and television fees to CHF 200 per household, while exempting businesses from this charge?",32278,41261104,0.9986060953736366,Real-Symmetric,furthest,clone-other,Values,"Democracy, Media & Digitalization"
"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]","Should the federal government spend more or less in the area of ""Social services""?",32266,32281,0.9986325863057969,Real-Symmetric,furthest,original-original,Security & military,Federal budget
Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,32256,32263,0.9988109964559807,Real-Symmetric,furthest,original-original,Nature conservation,"Democracy, Media & Digitalization"
Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""",32224,32274,0.9989192011229778,Real-Symmetric,furthest,original-original,Health,Values
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,32216,32233,0.999366144563029,Real-Symmetric,furthest,original-original,Welfare state & family,Society & ethics
Should direct payments only be granted to farmers with proof of ecological performance?,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,32253,32258,0.9994147572245147,Real-Symmetric,furthest,original-original,Nature conservation,"Democracy, Media & Digitalization"
