model,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_interval,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank
E5-Instruct,0.6626020656080386,0.973668830800808,0.8893745473697501,0.3,"[0.3, 0.4]",0.3,0.4,0.10000000000000003,1,1,1,1.0
Jina v3,0.6551867482434865,0.9731719907696568,0.8876451409038775,0.6,"[0.5, 0.7]",0.5,0.7,0.19999999999999996,2,2,2,2.0
Qwen3,0.6443427675347754,0.9706751590136238,0.882384227278419,0.6,"[0.5, 0.8]",0.5,0.8,0.30000000000000004,3,3,3,3.0
GTE,0.6081692348228257,0.9615491211445284,0.8642595166799721,0.8,"[0.7, 1.0]",0.7,1.0,0.30000000000000004,4,4,4,4.0
SBERT,0.6031051716088761,0.9607379195185874,0.8632116809833263,1.1,"[0.9, 1.5]",0.9,1.5,0.6,5,5,5,5.0
Nomic v2,0.5909622009043942,0.9568047963310372,0.854993042191986,1.0,"[0.9, 1.3]",0.9,1.3,0.4,6,7,6,6.333333333333333
BGE-M3,0.5886790239022296,0.9568081488766352,0.8549591243249404,0.9,"[0.8, 1.2]",0.8,1.2,0.3999999999999999,7,6,7,6.666666666666667
E5,0.5503163451663511,0.9454150470506149,0.8342543938774097,0.5,"[0.4, 0.7]",0.4,0.7,0.29999999999999993,8,8,8,8.0
E5-Asym,0.5329301803850759,0.9382963577900952,0.8242147473502546,0.6,"[0.5, 1.0]",0.5,1.0,0.5,9,9,9,9.0
E5-Asym-Instruct,0.4941233407844836,0.9236924191799016,0.801338713891679,0.8,"[0.6, 1.8]",0.6,1.8,1.2000000000000002,10,10,10,10.0
