Qu1,Qu2,Cat1,Cat2,Similarity
Should we raise taxes?,Should we not raise taxes?,ANCHOR,Negation,0.9530644416809082
Should we raise taxes?,Do you agree that taxes should be increased?,ANCHOR,Easy Paraphrase,0.8427409529685974
Should we raise taxes?,Do you agree that taxes should not be increased?,ANCHOR,Easy Paraphrase Negation,0.8061920404434204
Should we raise taxes?,Should we raise the minimum wage?,ANCHOR,Trap,0.6768540143966675
Should we raise taxes?,We should implement a tax on plastic bags to reduce waste.,ANCHOR,Trap,0.5429881811141968
Should we raise taxes?,The government must collect more revenue from citizens to fund services.,ANCHOR,Hard Paraphrase,0.4585478603839874
Should we raise taxes?,Do you agree that money should be collected from people to support the functioning of the state?,ANCHOR,Hard Paraphrase,0.4581414461135864
Should we raise taxes?,Should we raise animals in our backyards?,ANCHOR,Trap,0.41100677847862244
Should we raise taxes?,I hate filing my taxes every year.,ANCHOR,Trap,0.37756574153900146
Should we raise taxes?,The government must not collect more revenue from citizens to fund services.,ANCHOR,Hard Paraphrase Negation,0.34716612100601196
