model,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_interval,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank
Jina v3,0.558648813480806,0.946838238802692,0.8383862859254466,0.6,"[0.5, 1.0]",0.5,1.0,0.5,1,1,1,1.0
Qwen3,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,"[0.5, 1.1]",0.5,1.1,0.6000000000000001,2,2,2,2.0
E5-Instruct,0.5459575600007173,0.9420248987619424,0.8301031426507084,0.3,"[0.3, 0.6]",0.3,0.6,0.3,3,3,3,3.0
GTE,0.5357263194076884,0.9361721643537012,0.8231182432056519,0.8,"[0.6, 1.3]",0.6,1.3,0.7000000000000001,4,4,4,4.0
SBERT,0.5246538143878093,0.93595311654343,0.820917922485772,1.0,"[0.8, 1.8]",0.8,1.8,1.0,6,5,5,5.333333333333333
Nomic v2,0.5255967981706914,0.9342088940863412,0.8184214450557686,1.0,"[0.9, 1.5]",0.9,1.5,0.6,5,6,6,5.666666666666667
BGE-M3,0.5215551012040749,0.930530308629456,0.8141370648007514,0.9,"[0.7, 1.5]",0.7,1.5,0.8,7,7,7,7.0
E5-Asym,0.5037255635838258,0.9258143327850342,0.8069619896010237,0.6,"[0.5, 1.3]",0.5,1.3,0.8,8,8,8,8.0
E5,0.5004774549913673,0.9240053991627504,0.8035661117912976,0.5,"[0.4, 1.1]",0.4,1.1,0.7000000000000001,9,9,9,9.0
E5-Asym-Instruct,0.4886588680640225,0.9202050583636928,0.796836080029001,0.6,"[0.5, 2.1]",0.5,2.1,1.6,10,10,10,10.0
