Qu1,Qu2,ID1,ID2,Distance,Type
"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?","Should the federal government spend more or less in the area of ""Public transport""?",3477,3478,0.2839595820585368,Real-Symmetric
"Should the federal government spend more or less in the area of ""National defence""?","Should the federal government spend more or less in the area of ""Public security""?",3473,3474,0.2960136365584607,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""Public transport""?",3474,3478,0.2976461734217531,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""Social services""?",3474,3476,0.3011460507177789,Real-Symmetric
"Should the federal government spend more or less in the area of ""Development assistance""?","Should the federal government spend more or less in the area of ""Agriculture""?",3472,3479,0.3106451298966646,Real-Symmetric
"Should the federal government spend more or less in the area of ""Development assistance""?","Should the federal government spend more or less in the area of ""Social services""?",3472,3476,0.31930793849444344,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Public transport""?",3476,3478,0.3211383872087136,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Agriculture""?",3476,3479,0.3255521632058641,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Agriculture""?",3475,3479,0.33244172697038904,Real-Symmetric
"Should the federal government spend more or less in the area of ""Development assistance""?","Should the federal government spend more or less in the area of ""Education and research""?",3472,3475,0.33980726725871524,Real-Symmetric
"Should the federal government spend more or less in the area of ""National defence""?","Should the federal government spend more or less in the area of ""Social services""?",3473,3476,0.34196581343950205,Real-Symmetric
"Should the federal government spend more or less in the area of ""Development assistance""?","Should the federal government spend more or less in the area of ""National defence""?",3472,3473,0.342365598273044,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Social services""?",3475,3476,0.3475468495574792,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Public transport""?",3475,3478,0.3485733109675732,Real-Symmetric
"Should the federal government spend more or less in the area of ""National defence""?","Should the federal government spend more or less in the area of ""Public transport""?",3473,3478,0.3513993626484006,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public transport""?","Should the federal government spend more or less in the area of ""Agriculture""?",3478,3479,0.35319816709066604,Real-Symmetric
"Should the federal government spend more or less in the area of ""National defence""?","Should the federal government spend more or less in the area of ""Agriculture""?",3473,3479,0.3572403910834893,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""Agriculture""?",3474,3479,0.3609663518298074,Real-Symmetric
"Should the federal government spend more or less in the area of ""Development assistance""?","Should the federal government spend more or less in the area of ""Public transport""?",3472,3478,0.36223278720311747,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""Education and research""?",3474,3475,0.3625462798468945,Real-Symmetric
"Should the federal government spend more or less in the area of ""National defence""?","Should the federal government spend more or less in the area of ""Education and research""?",3473,3475,0.3628879181562798,Real-Symmetric
