Qu1,Qu2,Similarity
Should we raise taxes?,Should we not raise taxes?,0.9530643820762634
Should we raise taxes?,Do you agree that taxes should be increased?,0.8427408933639526
Should we not raise taxes?,Do you agree that taxes should be increased?,0.8202983140945435
Should we raise taxes?,Should we raise the minimum wage?,0.676854133605957
Should we not raise taxes?,Should we raise the minimum wage?,0.6443527340888977
Should we raise taxes?,We should implement a tax on plastic bags to reduce waste.,0.5429881811141968
Do you agree that taxes should be increased?,Should we raise the minimum wage?,0.5406442284584045
Do you agree that taxes should be increased?,We should implement a tax on plastic bags to reduce waste.,0.5205661058425903
Should we not raise taxes?,We should implement a tax on plastic bags to reduce waste.,0.5163273215293884
The government must collect more revenue from citizens to fund services.,Do you agree that money should be collected from people to support the functioning of the state?,0.5092986226081848
Should we raise taxes?,The government must collect more revenue from citizens to fund services.,0.45854780077934265
Should we raise taxes?,Do you agree that money should be collected from people to support the functioning of the state?,0.4581412672996521
Do you agree that taxes should be increased?,Do you agree that money should be collected from people to support the functioning of the state?,0.44535860419273376
Should we not raise taxes?,I hate filing my taxes every year.,0.43865811824798584
Should we not raise taxes?,Do you agree that money should be collected from people to support the functioning of the state?,0.4383918046951294
Do you agree that taxes should be increased?,The government must collect more revenue from citizens to fund services.,0.42699599266052246
Should we not raise taxes?,The government must collect more revenue from citizens to fund services.,0.4265790581703186
Should we raise animals in our backyards?,Should we raise the minimum wage?,0.42443734407424927
Should we raise taxes?,Should we raise animals in our backyards?,0.4110066294670105
Do you agree that taxes should be increased?,I hate filing my taxes every year.,0.3966204524040222
Do you agree that money should be collected from people to support the functioning of the state?,We should implement a tax on plastic bags to reduce waste.,0.38726234436035156
Should we raise taxes?,I hate filing my taxes every year.,0.37756556272506714
Should we not raise taxes?,Should we raise animals in our backyards?,0.36869102716445923
Do you agree that money should be collected from people to support the functioning of the state?,Should we raise the minimum wage?,0.3664238452911377
The government must collect more revenue from citizens to fund services.,We should implement a tax on plastic bags to reduce waste.,0.3660705089569092
Should we raise the minimum wage?,We should implement a tax on plastic bags to reduce waste.,0.30848228931427
Do you agree that money should be collected from people to support the functioning of the state?,Should we raise animals in our backyards?,0.3074862062931061
We should implement a tax on plastic bags to reduce waste.,I hate filing my taxes every year.,0.3014339208602905
Do you agree that taxes should be increased?,Should we raise animals in our backyards?,0.2826896905899048
The government must collect more revenue from citizens to fund services.,Should we raise the minimum wage?,0.2737703323364258
Should we raise animals in our backyards?,We should implement a tax on plastic bags to reduce waste.,0.24000003933906555
The government must collect more revenue from citizens to fund services.,Should we raise animals in our backyards?,0.19776880741119385
The government must collect more revenue from citizens to fund services.,I hate filing my taxes every year.,0.19470618665218353
Do you agree that money should be collected from people to support the functioning of the state?,I hate filing my taxes every year.,0.17288582026958466
Should we raise the minimum wage?,I hate filing my taxes every year.,0.07438262552022934
Should we raise animals in our backyards?,I hate filing my taxes every year.,-0.019795121625065804
