Qu1,Qu2,Cat1,Cat2,Distance,Type
Should we raise taxes?,Do you agree that taxes should be increased?,ANCHOR,Easy Paraphrase,0.39394327294611786,Asymmetric (Query-Passage)
Should we raise taxes?,Should we not raise taxes?,ANCHOR,Negation,0.40966185791404824,Asymmetric (Query-Passage)
Should we raise taxes?,Do you agree that taxes should not be increased?,ANCHOR,Easy Paraphrase Negation,0.46098805812999577,Asymmetric (Query-Passage)
Should we raise taxes?,Should we raise the minimum wage?,ANCHOR,Syntax Trap,0.5155890481148234,Asymmetric (Query-Passage)
Should we raise taxes?,Do you agree that money should be collected from people to support the functioning of the state?,ANCHOR,Hard Paraphrase,0.542280240880726,Asymmetric (Query-Passage)
Should we raise taxes?,The government must collect more revenue from citizens to fund services.,ANCHOR,Hard Paraphrase,0.589458314381098,Asymmetric (Query-Passage)
Should we raise taxes?,Should we raise animals in our backyards?,ANCHOR,Syntax Trap,0.618027031581995,Asymmetric (Query-Passage)
Should we raise taxes?,We should implement a tax on plastic bags to reduce waste.,ANCHOR,Keyword Trap,0.6229205825665569,Asymmetric (Query-Passage)
Should we raise taxes?,I hate filing my taxes every year.,ANCHOR,Keyword Trap,0.6531161914578236,Asymmetric (Query-Passage)
Should we raise taxes?,The government must not collect more revenue from citizens to fund services.,ANCHOR,Hard Paraphrase Negation,0.6580044137986395,Asymmetric (Query-Passage)
