model,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_interval,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank
Jina v3,0.6247180813356992,0.963949555557948,0.8696970760028239,0.6,"[0.5, 0.7]",0.5,0.7,0.19999999999999996,1,1,1,1.0
E5-Instruct,0.6122505854762924,0.9601373973668998,0.8629648860395823,0.3,"[0.3, 0.4]",0.3,0.4,0.10000000000000003,2,2,2,2.0
Qwen3,0.6089970518549601,0.95791560007403,0.8595208019941811,0.6,"[0.6, 0.8]",0.6,0.8,0.20000000000000007,3,3,3,3.0
SBERT,0.5900141207255472,0.9544270991273778,0.8525308038720102,1.1,"[0.9, 1.3]",0.9,1.3,0.4,4,4,4,4.0
GTE,0.5634579667716975,0.9466115975841872,0.8381610268788503,0.8,"[0.7, 1.1]",0.7,1.1,0.40000000000000013,5,5,5,5.0
Nomic v2,0.5558338292043759,0.9442254574913248,0.8335097665328965,1.1,"[0.9, 1.3]",0.9,1.3,0.4,7,6,6,6.333333333333333
BGE-M3,0.5593970832444143,0.9428803772154836,0.8323420287766806,0.9,"[0.8, 1.2]",0.8,1.2,0.3999999999999999,6,7,7,6.666666666666667
E5,0.5282764084678672,0.9333233856490508,0.8166582696801075,0.5,"[0.4, 0.8]",0.4,0.8,0.4,8,8,8,8.0
E5-Asym,0.5127033803686166,0.9270193690834198,0.8074695277335318,0.6,"[0.5, 1.0]",0.5,1.0,0.5,9,9,9,9.0
E5-Asym-Instruct,0.4872565330176185,0.918244361023424,0.7937960135424109,0.6,"[0.6, 1.4]",0.6,1.4,0.7999999999999999,10,10,10,10.0
