model,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_interval,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank
E5-Instruct,0.5136215956074199,0.931672122968782,0.8125650513294536,0.4,"[0.3, 0.8]",0.3,0.8,0.5,1,1,1,1.0
Jina v3,0.5065621909888643,0.9277310974560942,0.8075662963951794,0.6,"[0.5, 1.5]",0.5,1.5,1.0,2,2,2,2.0
GTE,0.5034384682023022,0.9268028940841752,0.8074577228028081,0.8,"[0.7, 1.8]",0.7,1.8,1.1,3,3,3,3.0
BGE-M3,0.49644588135003,0.9232997459010792,0.8020952291327496,0.9,"[0.7, 2.4]",0.7,2.4,1.7,4,4,4,4.0
E5-Asym,0.4920141950478099,0.9231875091965306,0.8014408844097461,0.6,"[0.3, 1.5]",0.3,1.5,1.2,6,5,5,5.333333333333333
E5,0.4940031545527494,0.9216977971990392,0.7998878153787161,0.5,"[0.4, 1.1]",0.4,1.1,0.7000000000000001,5,6,6,5.666666666666667
Qwen3,0.4869287424604141,0.9213804657424598,0.797083754374274,0.7,"[0.5, 2.4]",0.5,2.4,1.9,8,7,7,7.333333333333333
E5-Asym-Instruct,0.488145428271532,0.9191112510755036,0.7956168764964918,0.6,"[0.5, 2.1]",0.5,2.1,1.6,7,8,8,7.666666666666667
Nomic v2,0.4868184360129867,0.9187479765515464,0.7953186624333897,1.0,"[0.8, 3.0]",0.8,3.0,2.2,9,9,9,9.0
SBERT,0.483130920731125,0.9181065700289146,0.7943168502629675,1.1,"[0.8, 3.0]",0.8,3.0,2.2,10,10,10,10.0
