Qu1,Qu2,Distance,Type
"Should the federal government spend more or less in the area of ""Public transport""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0.2839595820585368,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""National defence""?",0.2960136365584607,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public transport""?","Should the federal government spend more or less in the area of ""Public security""?",0.2976461734217531,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Public security""?",0.3011460507177789,Real-Symmetric
"Should the federal government spend more or less in the area of ""Agriculture""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.3106443624007322,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.31930793849444344,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Public transport""?",0.3211383872087136,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Agriculture""?",0.3255517970299634,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Agriculture""?",0.33244083050162015,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.33980726725871524,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""National defence""?",0.34196581343950205,Real-Symmetric
"Should the federal government spend more or less in the area of ""National defence""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.342365598273044,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Education and research""?",0.3475468495574792,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Public transport""?",0.3485733109675732,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public transport""?","Should the federal government spend more or less in the area of ""National defence""?",0.3513993626484006,Real-Symmetric
"Should the federal government spend more or less in the area of ""Agriculture""?","Should the federal government spend more or less in the area of ""Public transport""?",0.35319782957660845,Real-Symmetric
"Should the federal government spend more or less in the area of ""Agriculture""?","Should the federal government spend more or less in the area of ""National defence""?",0.3572400573884531,Real-Symmetric
"Should the federal government spend more or less in the area of ""Agriculture""?","Should the federal government spend more or less in the area of ""Public security""?",0.36096536107718563,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public transport""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.36223278720311747,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Public security""?",0.3625462798468945,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""National defence""?",0.3628879181562798,Real-Symmetric
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.3645762669922996,Real-Symmetric
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.3736059981842803,Real-Symmetric
"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?","Should the federal government spend more or less in the area of ""Public security""?",0.37752146198829517,Real-Symmetric
"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?","Should the federal government spend more or less in the area of ""National defence""?",0.38324106322218765,Real-Symmetric
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0.38407409799444187,Real-Symmetric
"Should the federal government spend more or less in the area of ""Agriculture""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0.3864066666085249,Real-Symmetric
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0.39737439912292805,Real-Symmetric
"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.4027435390491691,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?",Are you in favour of lowering the voting age to 16?,0.4057949158163426,Real-Symmetric
Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.4125625505128069,Real-Symmetric
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.43211442308886017,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",0.4347946445208965,Real-Symmetric
"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",0.4386029645375173,Real-Symmetric
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Are you in favor of stricter controls on equal pay for women and men?,0.4422116653794658,Real-Symmetric
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?","Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",0.446396829294067,Real-Symmetric
"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,0.44719338978981354,Real-Symmetric
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,0.44747972985929624,Real-Symmetric
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,0.4479090963507551,Real-Symmetric
Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,Should the construction of new nuclear power plants in Switzerland be allowed again?,0.4511101750712296,Real-Symmetric
Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.45121731880172894,Real-Symmetric
Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",0.4524673424838574,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,Should the federal government provide more financial support for public housing construction? [BePart question],0.4535753051497749,Real-Symmetric
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",0.45446395360103164,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,0.45463914122468657,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should the construction of new nuclear power plants in Switzerland be allowed again?,0.45542154738221086,Real-Symmetric
"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.45565484303722303,Real-Symmetric
"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",0.45764106430954227,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?","Are you in favor of expanding the army's target number of soldiers to at least 120,000?",0.4576437994089412,Real-Symmetric
