ID_question,Weight,Question,_category,rapide
32214,1.0235066169772613,"Do you support an increase in the retirement age (e.g., to 67)?",Welfare state & family,1
32215,0.8342525307128099,Should the federal government allocate more funding for health insurance premium subsidies?,Welfare state & family,1
32216,0.9008990234086146,"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",Welfare state & family,0
32217,0.9008990234086146,"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",Welfare state & family,0
32218,0.9517766212244669,Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],Welfare state & family,0
32219,0.9830955709525679,Should the federal government provide more financial support for public housing construction? [BePart question],Welfare state & family,1
32220,1.0235066169772613,Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Health,0
32221,1.0235066169772613,Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,Health,0
32222,0.8342525307128099,"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",Health,1
32223,1.0235066169772613,Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,Health,1
32224,1.0235066169772613,Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,Health,0
32225,1.0235066169772613,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",Education,0
32226,1.0235066169772613,Should the federal government raise the requirements for the gymnasiale matura?,Education,0
32227,1.0235066169772613,"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",Education,1
32228,1.0235066169772613,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Immigration & integration,1
32229,1.0235066169772613,Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Immigration & integration,0
32230,1.0235066169772613,Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,Immigration & integration,1
32231,1.0235066169772613,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,Immigration & integration,1
32232,1.0235066169772613,Should cannabis use be legalized? [BePart question],Society & ethics,1
32233,1.0235066169772613,Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,Society & ethics,0
32234,1.0235066169772613,"Should a third official gender be introduced alongside ""female"" and ""male""?",Society & ethics,1
32235,1.0235066169772613,Do you think it's right for same-sex couples to have the same rights as heterosexual couples in all areas?,Society & ethics,0
32236,1.0218169167617683,Do you support tax cuts at the federal level over the next four years?,Finances & taxes,1
32237,1.0235066169772613,Should married couples be taxed separately (individual taxation)? [BePart question],Finances & taxes,0
32238,1.0235066169772613,Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],Finances & taxes,1
32239,1.0235066169772613,Should the differences between cantons with high and low financial capacity be further reduced through fiscal equalization?,Finances & taxes,0
32240,1.0235066169772613,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",Economy & labour,1
