question_id,question_text,category,group,mds_x,mds_y
32214,"Do you support an increase in the retirement age (e.g., to 67)?",Welfare state & family,mini,-0.19789803313298837,0.2884428616180445
32215,Should the federal government allocate more funding for health insurance premium subsidies?,Welfare state & family,mini,-0.1953817263436884,0.11571416936031012
32216,"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",Welfare state & family,maxi,-0.018595390924429946,0.18803356872345547
32217,"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",Welfare state & family,maxi,0.048629071015042186,0.21842596575933254
32218,Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],Welfare state & family,maxi,-0.2598493564347117,0.18192871426159501
32219,Should the federal government provide more financial support for public housing construction? [BePart question],Welfare state & family,mini,-0.2400723948628299,-0.05659205632263795
32220,Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Health,maxi,0.22470010831379114,0.23612289888036914
32221,Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,Health,maxi,-0.2296267812402539,-0.1810495853795739
32222,"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",Health,mini,-0.20801286616492778,0.23464857096516417
32223,Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,Health,mini,0.2045013062985726,0.16948912628120605
32224,Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,Health,maxi,-0.12914102475033246,0.22195083742218677
32225,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",Education,maxi,-0.03420565909582493,0.16249256231085593
32226,Should the federal government raise the requirements for the gymnasiale matura?,Education,maxi,-0.07755516806357121,0.07877916709294189
32227,"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",Education,mini,-0.36755124870794936,0.07136609664003929
32228,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Immigration & integration,mini,-0.032038113788068666,0.2954086284817757
32229,Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Immigration & integration,maxi,0.15825460253734489,0.10773623299740688
32230,Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,Immigration & integration,mini,0.07915425450947039,0.30732674301530805
32231,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,Immigration & integration,mini,0.15928773836417148,0.2541652461317562
32232,Should cannabis use be legalized? [BePart question],Society & ethics,mini,-0.3556221522561043,-0.02358579617715575
32233,Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,Society & ethics,maxi,0.20334204618675328,0.29863105584520594
32234,"Should a third official gender be introduced alongside ""female"" and ""male""?",Society & ethics,mini,-0.3321672576513528,0.1765773316026241
