ID1,ID2,Qu1,Qu2,correlation,abs_correlation
32264,32287,"Are you in favor of expanding the army's target number of soldiers to at least 120,000?","Should the federal government spend more or less in the area of ""National defence""?",0.7754187904946298,0.7754187904946298
32245,32285,Should busy sections of highways be widened?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0.7365356285886383,0.7365356285886383
32268,32272,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.6546283329468108,0.6546283329468108
32219,32281,Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Social services""?",0.604714896916647,0.604714896916647
32228,32231,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,0.6015069591483538,0.6015069591483538
32276,32281,"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".","Should the federal government spend more or less in the area of ""Social services""?",0.5911157519214275,0.5911157519214275
32215,32281,Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Social services""?",0.5883191104768403,0.5883191104768403
32265,32266,Should the Swiss Armed Forces expand their cooperation with NATO?,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",0.5404606130766274,0.5404606130766274
32271,32280,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.5381516549966717,0.5381516549966717
32238,32276,Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.5373608393990505,0.5373608393990505
32219,32276,Should the federal government provide more financial support for public housing construction? [BePart question],"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.5314756337395973,0.5314756337395973
32281,32288,"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.5263382857160511,0.5263382857160511
32266,32273,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],-0.524862826993615,0.524862826993615
32215,32219,Should the federal government allocate more funding for health insurance premium subsidies?,Should the federal government provide more financial support for public housing construction? [BePart question],0.5230902377421929,0.5230902377421929
32240,32281,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?","Should the federal government spend more or less in the area of ""Social services""?",0.5230650029343374,0.5230650029343374
32280,32285,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",-0.523052096835511,0.523052096835511
32246,32280,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.5206576185088593,0.5206576185088593
32228,32234,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","Should a third official gender be introduced alongside ""female"" and ""male""?",0.5185286830632542,0.5185286830632542
