Question,Weight
"Should the federal government spend more or less in the area of ""Agriculture""?",0.7617230171857475
"Should the federal government spend more or less in the area of ""Development assistance""?",0.7632308049729408
"Should the federal government spend more or less in the area of ""National defence""?",0.763920721674934
"Should the federal government spend more or less in the area of ""Public security""?",0.784321684032797
"Should the federal government spend more or less in the area of ""Public transport""?",0.7885187745238289
"Should the federal government spend more or less in the area of ""Education and research""?",0.7915620529797794
"Should the federal government spend more or less in the area of ""Social services""?",0.8200478775768346
"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0.8471386154183864
"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",0.9557083324757277
"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",0.9692775220508976
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],0.9752893622650911
"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.9820477510240977
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",0.9848524466436838
"Do you support an increase in the retirement age (e.g., to 67)?",0.9863947995570463
Are you in favour of lowering the voting age to 16?,0.9863947995570463
"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""",0.9943419993580079
Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.9951271734448511
"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",0.998248422059843
"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",1.0148621915500053
Should the federal government allocate more funding for health insurance premium subsidies?,1.0177057521074264
"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",1.0177057521074264
Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],1.0178957032265248
Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],1.0202229120403297
"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",1.0202229120403297
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,1.0214580961828612
Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,1.0214580961828612
Should married couples be taxed separately (individual taxation)? [BePart question],1.0218809841564964
