Qu1,Qu2,Similarity
"Should the federal government spend more or less in the area of ""Public transport""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",0.8990118503570557
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""National defence""?",0.7733789086341858
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.7486255764961243
"Should the federal government spend more or less in the area of ""Public transport""?","Should the federal government spend more or less in the area of ""Public security""?",0.7381299138069153
"Should the federal government spend more or less in the area of ""Agriculture""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.7352977991104126
Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.7314963340759277
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Public security""?",0.7166202664375305
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.7153427004814148
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.7050313353538513
"Should the federal government spend more or less in the area of ""National defence""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.6891552209854126
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""Development assistance""?",0.6633756160736084
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Agriculture""?",0.6626951694488525
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Development assistance""?",0.65750652551651
"Should the federal government spend more or less in the area of ""Agriculture""?","Should the federal government spend more or less in the area of ""National defence""?",0.6549524068832397
Should the federal government allocate more funding for health insurance premium subsidies?,"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",0.6513656377792358
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.6492214202880859
"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,0.6490456461906433
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Public transport""?",0.6445210576057434
Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,0.6435980796813965
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Agriculture""?",0.6432053446769714
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""National defence""?",0.640304684638977
"Should the federal government spend more or less in the area of ""Agriculture""?","Should the federal government spend more or less in the area of ""Public security""?",0.6363221406936646
"Should the federal government spend more or less in the area of ""Public transport""?","Should the federal government spend more or less in the area of ""National defence""?",0.6317002177238464
