ID1,ID2,Qu1,Qu2,Distance,group_ID1,group_ID2
32214,32215,"Do you support an increase in the retirement age (e.g., to 67)?",Should the federal government allocate more funding for health insurance premium subsidies?,1.3149108204861708,mini,mini
32214,32216,"Do you support an increase in the retirement age (e.g., to 67)?","For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",1.5223634077806876,mini,maxi
32214,32217,"Do you support an increase in the retirement age (e.g., to 67)?","As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",1.1352734737075887,mini,maxi
32214,32218,"Do you support an increase in the retirement age (e.g., to 67)?",Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],1.4331558117119156,mini,maxi
32214,32219,"Do you support an increase in the retirement age (e.g., to 67)?",Should the federal government provide more financial support for public housing construction? [BePart question],1.3347031447267657,mini,mini
32214,32220,"Do you support an increase in the retirement age (e.g., to 67)?",Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,1.517955288304487,mini,maxi
32214,32221,"Do you support an increase in the retirement age (e.g., to 67)?",Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,1.5528414870171074,mini,maxi
32214,32222,"Do you support an increase in the retirement age (e.g., to 67)?","Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",1.277958357763658,mini,mini
32214,32223,"Do you support an increase in the retirement age (e.g., to 67)?",Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,1.5459132493494598,mini,mini
32214,32224,"Do you support an increase in the retirement age (e.g., to 67)?",Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,1.557592336261386,mini,maxi
32214,32225,"Do you support an increase in the retirement age (e.g., to 67)?","According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",1.4603972085125407,mini,maxi
32214,32226,"Do you support an increase in the retirement age (e.g., to 67)?",Should the federal government raise the requirements for the gymnasiale matura?,1.393259170382723,mini,maxi
32214,32227,"Do you support an increase in the retirement age (e.g., to 67)?","Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",1.436060638604783,mini,mini
32214,32228,"Do you support an increase in the retirement age (e.g., to 67)?","Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",1.4798135401746417,mini,mini
32214,32229,"Do you support an increase in the retirement age (e.g., to 67)?",Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,1.5133360106188332,mini,maxi
32214,32230,"Do you support an increase in the retirement age (e.g., to 67)?",Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,1.4484756772507046,mini,mini
32214,32231,"Do you support an increase in the retirement age (e.g., to 67)?",Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,1.4855642937363482,mini,mini
32214,32232,"Do you support an increase in the retirement age (e.g., to 67)?",Should cannabis use be legalized? [BePart question],1.5366093239276455,mini,mini
32214,32233,"Do you support an increase in the retirement age (e.g., to 67)?",Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,1.560181551411189,mini,maxi
32214,32234,"Do you support an increase in the retirement age (e.g., to 67)?","Should a third official gender be introduced alongside ""female"" and ""male""?",1.4768593592485115,mini,mini
32214,32235,"Do you support an increase in the retirement age (e.g., to 67)?",Do you think it's right for same-sex couples to have the same rights as heterosexual couples in all areas?,1.5587054633412962,mini,maxi
32214,32236,"Do you support an increase in the retirement age (e.g., to 67)?",Do you support tax cuts at the federal level over the next four years?,1.5403998507542833,mini,mini
32214,32237,"Do you support an increase in the retirement age (e.g., to 67)?",Should married couples be taxed separately (individual taxation)? [BePart question],1.5337040938326278,mini,maxi
32214,32238,"Do you support an increase in the retirement age (e.g., to 67)?",Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],1.44083510764351,mini,mini
32214,32239,"Do you support an increase in the retirement age (e.g., to 67)?",Should the differences between cantons with high and low financial capacity be further reduced through fiscal equalization?,1.3936908656736806,mini,maxi
32214,32240,"Do you support an increase in the retirement age (e.g., to 67)?","Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",1.279065025663847,mini,mini
32214,32241,"Do you support an increase in the retirement age (e.g., to 67)?","Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",1.3604957149095207,mini,mini
32214,32242,"Do you support an increase in the retirement age (e.g., to 67)?",Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,1.4459518565306335,mini,maxi
32214,32243,"Do you support an increase in the retirement age (e.g., to 67)?","Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",1.3733240529567214,mini,maxi
32214,32244,"Do you support an increase in the retirement age (e.g., to 67)?",Are you in favor of stricter controls on equal pay for women and men?,1.3255691945897792,mini,mini
32214,32245,"Do you support an increase in the retirement age (e.g., to 67)?",Should busy sections of highways be widened?,1.4909181371151459,mini,mini
32214,32246,"Do you support an increase in the retirement age (e.g., to 67)?",Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,1.5506451784045858,mini,mini
32214,32247,"Do you support an increase in the retirement age (e.g., to 67)?","To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?",1.5197870312689143,mini,maxi
32214,32248,"Do you support an increase in the retirement age (e.g., to 67)?",Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,1.4467616291117453,mini,maxi
32214,32249,"Do you support an increase in the retirement age (e.g., to 67)?",Should the construction of new nuclear power plants in Switzerland be allowed again?,1.3341061027885777,mini,mini
32214,32250,"Do you support an increase in the retirement age (e.g., to 67)?",Should the state guarantee a comprehensive public service offering also in rural regions?,1.410463112088222,mini,maxi
32214,32251,"Do you support an increase in the retirement age (e.g., to 67)?",Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,1.5540097959209536,mini,maxi
32214,32252,"Do you support an increase in the retirement age (e.g., to 67)?","Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",1.4572527426121422,mini,mini
32214,32253,"Do you support an increase in the retirement age (e.g., to 67)?",Should direct payments only be granted to farmers with proof of ecological performance?,1.527579504038256,mini,mini
32214,32254,"Do you support an increase in the retirement age (e.g., to 67)?",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,1.430810708435273,mini,maxi
32214,32255,"Do you support an increase in the retirement age (e.g., to 67)?",Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],1.4018043720654816,mini,maxi
32214,32256,"Do you support an increase in the retirement age (e.g., to 67)?",Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],1.4577585781959401,mini,mini
32214,32257,"Do you support an increase in the retirement age (e.g., to 67)?","Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",1.4002885072289322,mini,maxi
32214,32258,"Do you support an increase in the retirement age (e.g., to 67)?",Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,1.4172322983964436,mini,maxi
32214,32259,"Do you support an increase in the retirement age (e.g., to 67)?",Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,1.5647530579162452,mini,maxi
32214,32260,"Do you support an increase in the retirement age (e.g., to 67)?","Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",1.4875149844911681,mini,mini
32214,32261,"Do you support an increase in the retirement age (e.g., to 67)?","A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?",1.5590819132303027,mini,mini
32214,32262,"Do you support an increase in the retirement age (e.g., to 67)?",Are you in favour of lowering the voting age to 16?,1.486050418218897,mini,maxi
32214,32263,"Do you support an increase in the retirement age (e.g., to 67)?",Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,1.4807474301139685,mini,maxi
32214,32264,"Do you support an increase in the retirement age (e.g., to 67)?","Are you in favor of expanding the army's target number of soldiers to at least 120,000?",1.4103728715621404,mini,mini
32214,32265,"Do you support an increase in the retirement age (e.g., to 67)?",Should the Swiss Armed Forces expand their cooperation with NATO?,1.3899117270228472,mini,maxi
32214,32266,"Do you support an increase in the retirement age (e.g., to 67)?","Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",1.415284318289079,mini,corr_maxi
32214,32267,"Do you support an increase in the retirement age (e.g., to 67)?",Should automatic facial recognition be banned in public spaces?,1.46494224746893,mini,mini
32214,32268,"Do you support an increase in the retirement age (e.g., to 67)?",Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],1.5248152978607536,mini,mini
32214,32269,"Do you support an increase in the retirement age (e.g., to 67)?",Are you in favor of closer relations with the European Union (EU)?,1.5294420362147145,mini,maxi
32214,32270,"Do you support an increase in the retirement age (e.g., to 67)?",Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,1.3341046791263664,mini,mini
32214,32271,"Do you support an increase in the retirement age (e.g., to 67)?",Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,1.3400226051928978,mini,maxi
32214,32272,"Do you support an increase in the retirement age (e.g., to 67)?",Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,1.5536703314352374,mini,mini
32214,32273,"Do you support an increase in the retirement age (e.g., to 67)?",Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],1.5054798346815994,mini,mini
32214,32274,"Do you support an increase in the retirement age (e.g., to 67)?","What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""",1.4777606540205512,mini,maxi
32214,32275,"Do you support an increase in the retirement age (e.g., to 67)?","What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",1.26693365992945,mini,maxi
32214,32276,"Do you support an increase in the retirement age (e.g., to 67)?","What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",1.3760844380390078,mini,corr_maxi
32214,32277,"Do you support an increase in the retirement age (e.g., to 67)?","What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",1.506337581687316,mini,maxi
32214,32278,"Do you support an increase in the retirement age (e.g., to 67)?","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",1.369110602437775,mini,maxi
32214,32279,"Do you support an increase in the retirement age (e.g., to 67)?","What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",1.542476061200285,mini,maxi
32214,32280,"Do you support an increase in the retirement age (e.g., to 67)?","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",1.4382351721677042,mini,maxi
32214,32281,"Do you support an increase in the retirement age (e.g., to 67)?","Should the federal government spend more or less in the area of ""Social services""?",1.2797728725497646,mini,corr_maxi
32214,32282,"Do you support an increase in the retirement age (e.g., to 67)?","Should the federal government spend more or less in the area of ""Education and research""?",1.4958926402423507,mini,maxi
32214,32283,"Do you support an increase in the retirement age (e.g., to 67)?","Should the federal government spend more or less in the area of ""Agriculture""?",1.3911195395772855,mini,maxi
32214,32284,"Do you support an increase in the retirement age (e.g., to 67)?","Should the federal government spend more or less in the area of ""Public transport""?",1.4641363364275646,mini,maxi
32214,32285,"Do you support an increase in the retirement age (e.g., to 67)?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",1.4979573376681765,mini,corr_maxi
32214,32286,"Do you support an increase in the retirement age (e.g., to 67)?","Should the federal government spend more or less in the area of ""Public security""?",1.5128123289329467,mini,maxi
32214,32287,"Do you support an increase in the retirement age (e.g., to 67)?","Should the federal government spend more or less in the area of ""National defence""?",1.363508731195503,mini,corr_maxi
32214,32288,"Do you support an increase in the retirement age (e.g., to 67)?","Should the federal government spend more or less in the area of ""Development assistance""?",1.4104850402815317,mini,maxi
32215,32216,Should the federal government allocate more funding for health insurance premium subsidies?,"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",1.5158240138157908,mini,maxi
32215,32217,Should the federal government allocate more funding for health insurance premium subsidies?,"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",1.2548015995660482,mini,maxi
32215,32218,Should the federal government allocate more funding for health insurance premium subsidies?,Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],1.149178976255057,mini,maxi
32215,32219,Should the federal government allocate more funding for health insurance premium subsidies?,Should the federal government provide more financial support for public housing construction? [BePart question],1.0203235342417336,mini,mini
32215,32220,Should the federal government allocate more funding for health insurance premium subsidies?,Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,1.4874938571625451,mini,maxi
32215,32221,Should the federal government allocate more funding for health insurance premium subsidies?,Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,1.3920010415734299,mini,maxi
