Qu1,Qu2,ID1,ID2,Distance,Type,rank_type,cat1,cat2
"Are you in favor of expanding the army's target number of soldiers to at least 120,000?","Should the federal government spend more or less in the area of ""National defence""?",32264,32287,0.6834182784170582,Real-Symmetric,closest,Security & military,Federal budget
Should busy sections of highways be widened?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",32245,32285,0.7428621424607029,Real-Symmetric,closest,Energy & transport,Federal budget
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,32268,32272,0.8571054660710726,Real-Symmetric,closest,Security & military,Foreign trade & foreign policy
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Social services""?",32219,32281,0.9213884789593505,Real-Symmetric,closest,Welfare state & family,Federal budget
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,32228,32231,0.9254101854447995,Real-Symmetric,closest,Immigration & integration,Immigration & integration
"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".","Should the federal government spend more or less in the area of ""Social services""?",32276,32281,0.938354885437395,Real-Symmetric,closest,Values,Federal budget
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Social services""?",32215,32281,0.9418177527610618,Real-Symmetric,closest,Welfare state & family,Federal budget
Should the Swiss Armed Forces expand their cooperation with NATO?,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",32265,32266,0.9998118571227994,Real-Symmetric,closest,Security & military,Security & military
Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",32271,32280,1.0025537320280673,Real-Symmetric,closest,Foreign trade & foreign policy,Values
Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",32238,32276,1.003491717229642,Real-Symmetric,closest,Finances & taxes,Values
Should the federal government provide more financial support for public housing construction? [BePart question],"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",32219,32276,1.0104546742957656,Real-Symmetric,closest,Welfare state & family,Values
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Development assistance""?",32281,32288,1.0165080349594742,Real-Symmetric,closest,Federal budget,Federal budget
"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],32266,32273,1.018242376699051,Real-Symmetric,closest,Security & military,Foreign trade & foreign policy
Should the federal government allocate more funding for health insurance premium subsidies?,Should the federal government provide more financial support for public housing construction? [BePart question],32215,32219,1.0203235342417336,Real-Symmetric,closest,Welfare state & family,Welfare state & family
"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?","Should the federal government spend more or less in the area of ""Social services""?",32240,32281,1.020353142654923,Real-Symmetric,closest,Economy & labour,Federal budget
"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",32280,32285,1.020368285384022,Real-Symmetric,closest,Values,Federal budget
Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",32246,32280,1.0231753003082202,Real-Symmetric,closest,Energy & transport,Values
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","Should a third official gender be introduced alongside ""female"" and ""male""?",32228,32234,1.0256669929564257,Real-Symmetric,closest,Immigration & integration,Society & ethics
Are you in favor of stricter controls on equal pay for women and men?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,32244,32271,1.0292354269435342,Real-Symmetric,closest,Economy & labour,Foreign trade & foreign policy
