Qu1,Qu2,ID1,ID2,Distance,Type,rank_type,cat1,cat2
Should the federal government allocate more funding for health insurance premium subsidies?,"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",32215,32222,0.17995731165458195,Real-Symmetric,closest,Welfare state & family,Health
Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,32242,32251,0.20187698788446565,Real-Symmetric,closest,Economy & labour,Energy & transport
Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,32270,32272,0.21868813866159265,Real-Symmetric,closest,Foreign trade & foreign policy,Foreign trade & foreign policy
"Should the federal government spend more or less in the area of ""Public transport""?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",32284,32285,0.22215348081194955,Real-Symmetric,closest,Federal budget,Federal budget
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,32268,32272,0.22821050635248097,Real-Symmetric,closest,Security & military,Foreign trade & foreign policy
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?","As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",32216,32217,0.23208362745977515,Real-Symmetric,closest,Welfare state & family,Welfare state & family
Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],32272,32273,0.2428064129040641,Real-Symmetric,closest,Foreign trade & foreign policy,Foreign trade & foreign policy
Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",32218,32277,0.26098210301917923,Real-Symmetric,closest,Welfare state & family,Values
"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],32266,32273,0.26136961466469416,Real-Symmetric,closest,Security & military,Foreign trade & foreign policy
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,32229,32272,0.26246990757979993,Real-Symmetric,closest,Immigration & integration,Foreign trade & foreign policy
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",32248,32280,0.2630719176183891,Real-Symmetric,closest,Energy & transport,Values
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""National defence""?",32286,32287,0.27708465939159066,Real-Symmetric,closest,Federal budget,Federal budget
Should the federal government provide more financial support for public housing construction? [BePart question],"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",32219,32243,0.27828240387391934,Real-Symmetric,closest,Welfare state & family,Economy & labour
Should the Swiss Armed Forces expand their cooperation with NATO?,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",32265,32266,0.27947437541512077,Real-Symmetric,closest,Security & military,Security & military
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,32229,32231,0.28170273687179465,Real-Symmetric,closest,Immigration & integration,Immigration & integration
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],32268,32273,0.28331759540007617,Real-Symmetric,closest,Security & military,Foreign trade & foreign policy
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,32229,32271,0.2837813164322667,Real-Symmetric,closest,Immigration & integration,Foreign trade & foreign policy
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",32229,32240,0.2855593823408636,Real-Symmetric,closest,Immigration & integration,Economy & labour
Should the federal government allocate more funding for health insurance premium subsidies?,Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,32215,32224,0.2878450065090878,Real-Symmetric,closest,Welfare state & family,Health
Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,32271,32272,0.2916194105467004,Real-Symmetric,closest,Foreign trade & foreign policy,Foreign trade & foreign policy
Should the differences between cantons with high and low financial capacity be further reduced through fiscal equalization?,"Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",32239,32260,0.5133203964750045,Real-Symmetric,furthest,Finances & taxes,"Democracy, Media & Digitalization"
Should cannabis use be legalized? [BePart question],Should the differences between cantons with high and low financial capacity be further reduced through fiscal equalization?,32232,32239,0.5133241121694182,Real-Symmetric,furthest,Society & ethics,Finances & taxes
Should direct payments only be granted to farmers with proof of ecological performance?,Should the Swiss Armed Forces expand their cooperation with NATO?,32253,32265,0.5137036679948398,Real-Symmetric,furthest,Nature conservation,Security & military
Should married couples be taxed separately (individual taxation)? [BePart question],Should the Swiss Armed Forces expand their cooperation with NATO?,32237,32265,0.5137209560602872,Real-Symmetric,furthest,Finances & taxes,Security & military
"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",Should busy sections of highways be widened?,32217,32245,0.5141079868030904,Real-Symmetric,furthest,Welfare state & family,Energy & transport
Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,Should the Swiss Armed Forces expand their cooperation with NATO?,32254,32265,0.5141418395805533,Real-Symmetric,furthest,Nature conservation,Security & military
"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,32227,32258,0.5142941495037107,Real-Symmetric,furthest,Education,"Democracy, Media & Digitalization"
"Do you support an increase in the retirement age (e.g., to 67)?","Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",32214,32266,0.5149348871493754,Real-Symmetric,furthest,Welfare state & family,Security & military
Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,Should busy sections of highways be widened?,32231,32245,0.5152225657881876,Real-Symmetric,furthest,Immigration & integration,Energy & transport
Should the Swiss Armed Forces expand their cooperation with NATO?,"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",32265,32277,0.5154043939476429,Real-Symmetric,furthest,Security & military,Values
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",32228,32257,0.5160728590337791,Real-Symmetric,furthest,Immigration & integration,Nature conservation
