Qu1,Qu2,ID1,ID2,d_beh,Type,d_arc,rank_beh,rank_arc,rank_gap
"Do you support an increase in the retirement age (e.g., to 67)?",Should the federal government allocate more funding for health insurance premium subsidies?,32214,32215,0.33377442996742673,Real-Symmetric,1.3104092034253776,1248,865,383
"Do you support an increase in the retirement age (e.g., to 67)?","For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",32214,32216,0.4142259014262226,Real-Symmetric,1.5183845095912705,2497,2397,100
"Do you support an increase in the retirement age (e.g., to 67)?","As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",32214,32217,0.29194366197183097,Real-Symmetric,1.1291884132205916,587,117,470
"Do you support an increase in the retirement age (e.g., to 67)?",Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],32214,32218,0.3962545337020146,Real-Symmetric,1.4265335072249343,2301,1729,572
"Do you support an increase in the retirement age (e.g., to 67)?",Should the federal government provide more financial support for public housing construction? [BePart question],32214,32219,0.34780619370996485,Real-Symmetric,1.3271487841068703,1497,962,535
"Do you support an increase in the retirement age (e.g., to 67)?",Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,32214,32220,0.42191810657761,Real-Symmetric,1.5267110090043534,2593,2448,145
"Do you support an increase in the retirement age (e.g., to 67)?",Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,32214,32221,0.4253475372944721,Real-Symmetric,1.547634146685725,2618,2583,35
"Do you support an increase in the retirement age (e.g., to 67)?","Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",32214,32222,0.32355291838217487,Real-Symmetric,1.270988679228643,1070,638,432
"Do you support an increase in the retirement age (e.g., to 67)?",Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,32214,32223,0.4284877824995171,Real-Symmetric,1.5508334099557404,2648,2612,36
"Do you support an increase in the retirement age (e.g., to 67)?",Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,32214,32224,0.41642046797447413,Real-Symmetric,1.5609602552046131,2527,2690,163
"Do you support an increase in the retirement age (e.g., to 67)?","According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",32214,32225,0.3844090976113241,Real-Symmetric,1.4506485480695175,2124,1923,201
