Qu1,Qu2,ID1,ID2,Distance,Type,rank_type
"Are you in favor of expanding the army's target number of soldiers to at least 120,000?","Should the federal government spend more or less in the area of ""National defence""?",32264,32287,0.2245812095053702,Real-Symmetric,closest
Should busy sections of highways be widened?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",32245,32285,0.2634643714113617,Real-Symmetric,closest
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,32268,32272,0.3453716670531892,Real-Symmetric,closest
Should the federal government provide more financial support for public housing construction? [BePart question],"Should the federal government spend more or less in the area of ""Social services""?",32219,32281,0.39528510308335296,Real-Symmetric,closest
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,32228,32231,0.39849304085164616,Real-Symmetric,closest
"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".","Should the federal government spend more or less in the area of ""Social services""?",32276,32281,0.4088842480785725,Real-Symmetric,closest
Should the federal government allocate more funding for health insurance premium subsidies?,"Should the federal government spend more or less in the area of ""Social services""?",32215,32281,0.41168088952315973,Real-Symmetric,closest
Should the Swiss Armed Forces expand their cooperation with NATO?,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",32265,32266,0.4595393869233726,Real-Symmetric,closest
Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",32271,32280,0.4618483450033283,Real-Symmetric,closest
Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",32238,32276,0.46263916060094945,Real-Symmetric,closest
Should the federal government provide more financial support for public housing construction? [BePart question],"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",32219,32276,0.4685243662604027,Real-Symmetric,closest
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Development assistance""?",32281,32288,0.4736617142839489,Real-Symmetric,closest
"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],32266,32273,0.475137173006385,Real-Symmetric,closest
Should the federal government allocate more funding for health insurance premium subsidies?,Should the federal government provide more financial support for public housing construction? [BePart question],32215,32219,0.4769097622578071,Real-Symmetric,closest
"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?","Should the federal government spend more or less in the area of ""Social services""?",32240,32281,0.47693499706566256,Real-Symmetric,closest
"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",32280,32285,0.476947903164489,Real-Symmetric,closest
Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",32246,32280,0.4793423814911407,Real-Symmetric,closest
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","Should a third official gender be introduced alongside ""female"" and ""male""?",32228,32234,0.48147131693674583,Real-Symmetric,closest
Are you in favor of stricter controls on equal pay for women and men?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,32244,32271,0.4845258378597599,Real-Symmetric,closest
Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",32246,32285,0.48563263005487156,Real-Symmetric,closest
"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""","Should the federal government spend more or less in the area of ""Agriculture""?",32280,32283,0.9972264298891068,Real-Symmetric,furthest
Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,32218,32263,0.997783175343451,Real-Symmetric,furthest
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",32248,32285,0.9980588033045683,Real-Symmetric,furthest
Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,32251,32263,0.9980694837431756,Real-Symmetric,furthest
"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,32252,32263,0.9981304908100787,Real-Symmetric,furthest
"Are you in favor of expanding the army's target number of soldiers to at least 120,000?","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",32264,32278,0.998247881702194,Real-Symmetric,furthest
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],32248,32256,0.99827801396273,Real-Symmetric,furthest
Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""",32258,32274,0.9984361144456769,Real-Symmetric,furthest
