model,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_interval,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank
E5-Instruct,0.6228422345281992,0.9620671691434558,0.8666144129146518,0.3,"[0.3, 0.4]",0.3,0.4,0.10000000000000003,1,1,1,1.0
Jina v3,0.6029433495424992,0.9581325636713744,0.8579840195920263,0.6,"[0.5, 0.7]",0.5,0.7,0.19999999999999996,3,2,2,2.3333333333333335
Qwen3,0.6073944279766068,0.9561957621097968,0.8566453017789862,0.6,"[0.5, 0.8]",0.5,0.8,0.30000000000000004,2,3,3,2.6666666666666665
GTE,0.5947548275295114,0.95581764644745,0.8541393993758033,0.8,"[0.7, 0.9]",0.7,0.9,0.20000000000000007,4,4,4,4.0
BGE-M3,0.5875593109382194,0.9526218501747988,0.848473896144833,0.9,"[0.8, 1.2]",0.8,1.2,0.3999999999999999,5,5,5,5.0
SBERT,0.582852145032397,0.95254203875126,0.8482583660676711,1.1,"[0.9, 1.5]",0.9,1.5,0.6,6,6,6,6.0
E5,0.5555011477957842,0.946007822835606,0.8351824471523068,0.5,"[0.4, 0.7]",0.4,0.7,0.29999999999999993,8,7,7,7.333333333333333
Nomic v2,0.5591938454943275,0.9447098795702832,0.8346999479087304,1.0,"[0.9, 1.4]",0.9,1.4,0.4999999999999999,7,8,8,7.666666666666667
E5-Asym,0.5367012612989376,0.9389642078588224,0.8250421673350875,0.6,"[0.5, 0.9]",0.5,0.9,0.4,9,9,9,9.0
E5-Asym-Instruct,0.4840131832311568,0.9162768958864036,0.7912677711815165,0.6,"[0.6, 1.5]",0.6,1.5,0.9,10,10,10,10.0
