"","ID_question","type","question_de","question_fr","question_en"
"1",3387,"Slider-7","Wie beurteilen Sie diese Aussage: ""Wer sich nichts zuschulden kommen lässt, hat von staatlichen Sicherheitsmassnahmen nichts zu befürchten.""","Comment jugez-vous l'affirmation suivante: ""Qui n'a rien à se reprocher n'a pas à craindre les mesures de sécurité prises par l'État.""","What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""."""
"2",3388,"Slider-7","Wie beurteilen Sie diese Aussage: ""Die Bestrafung Krimineller ist wichtiger als deren Wiedereingliederung in die Gesellschaft.""","Comment jugez-vous l'affirmation suivante: ""Punir les criminels est plus important que de les réintégrer dans la société.""","What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society."""
"3",3389,"Slider-7","Wie beurteilen Sie diese Aussage: ""Für ein Kind ist es am besten, wenn ein Elternteil Vollzeit für die Kinderbetreuung zu Hause bleibt.""","Comment jugez-vous l'affirmation suivante: ""Pour un enfant, il est préférable qu'un des parents reste à la maison à plein temps pour s'occuper de lui.""","What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare."""
"4",3391,"Standard-4","Soll der Bund Ausländer/-innen bei der Integration stärker unterstützen?","La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?","Should the federal government provide more support for the integration of foreigners?"
"5",3392,"Standard-4","Soll der Konsum von Cannabis legalisiert werden?","La consommation de cannabis devrait-elle être légalisée?","Should cannabis use be legalized?"
"6",3398,"Standard-4","Soll die Schweiz das Schengen-Abkommen mit der EU kündigen und wieder verstärkte Personenkontrollen direkt an der Grenze einführen?","La Suisse devrait-elle mettre fin à l'accord de Schengen avec l'UE et réintroduire davantage de contrôles directement aux frontières?","Should Switzerland terminate the Schengen Agreement with the EU, in order to reintroduce more security checks directly on the border?"
"7",3399,"Slider-7","Wie beurteilen Sie diese Aussage: ""Vermögende sollen sich stärker an der Finanzierung des Staates beteiligen.""","Comment jugez-vous l'affirmation suivante: ""Les personnes fortunées devraient participer davantage au financement de l'État.""","What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state."""
"8",3412,"Standard-4","Befürworten Sie eine Erhöhung des Rentenalters (z.B. auf 67 Jahre)?","Êtes-vous favorable à une hausse de l'âge de la retraite (p. ex. à 67 ans)?","Do you support an increase in the retirement age (e.g. to 67)?"
"9",3413,"Standard-4","Soll der Staat die Schaffung von familienergänzenden Betreuungsstrukturen finanziell stärker unterstützen?","L'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familial?","Should the federal government provide more financial support for the creation of childcare facilities outside the family?"
"10",3414,"Standard-4","Eine Initiative fordert einen bezahlten Vaterschaftsurlaub von vier Wochen. Befürworten Sie dieses Anliegen?","Une initiative demande l'instauration d'un congé paternité payé de quatre semaines. Êtes-vous en faveur de cette proposition?","An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?"
"11",3415,"Standard-4","Sollen die Renten der Pensionskasse durch eine Senkung des Umwandlungssatzes gekürzt und an die gestiegene Lebenserwartung angepasst werden?","Les rentes de la caisse de pension doivent-elles être adaptées à l'allongement de l'espérance de vie (réduction du taux de conversion)?","Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?"
"12",3416,"Standard-4","Befürworten Sie Bestrebungen in den Kantonen zur Senkung der Sozialhilfeleistungen?","Soutenez-vous les efforts au niveau des cantons visant à réduire les prestations d'aide sociale?","Do you support cantonal efforts to reduce social welfare benefits?"
"13",3417,"Standard-4","Soll der Bund den gemeinnützigen Wohnungsbau verstärkt fördern?","La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?","Should the federal government provide more support for the construction of non-profit housing? "
"14",3418,"Standard-4","Sollen sich die Versicherten stärker an den Gesundheitskosten beteiligen (z.B. Erhöhung der Mindestfranchise)?","Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?","Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?"
"15",3419,"Standard-4","Würden Sie die Einführung der Widerspruchslösung bei der Organspende befürworten?","Approuveriez-vous le principe du consentement présumé pour le don d’organes?","Would you support the introduction of an opt-out solution of for organ donation?"
"16",3420,"Standard-4","Soll für Kinder eine Impfpflicht gemäss dem Schweizerischen Impfplan eingeführt werden?","Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?","Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?"
"17",3421,"Standard-4","Eine Initiative fordert, dass die Prämienverbilligung so ausgestaltet wird, dass niemand mehr als zehn Prozent des verfügbaren Einkommens für die Krankenkassenprämien aufwenden muss. Befürworten Sie dies?","Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?","An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?"
"18",3422,"Standard-4","Eine Initiative möchte dem Bund mehr Kompetenzen geben, um Massnahmen zur Senkung der Gesundheitskosten zu ergreifen (Einführung einer Kostenbremse). Befürworten Sie dies?","Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?","An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?"
"19",3423,"Standard-4","Soll sich der Staat stärker für gleiche Bildungschancen einsetzen (z.B. mit Nachhilfe-Gutscheinen für Schüler/-innen aus Familien mit geringem Einkommen)?","L’État devrait-il davantage s’engager pour une égalité des chances en matière de formation (p. ex. par des cours de rattrapage subventionnés destinés aux élèves issus de familles à faible revenu)?","Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?"
"20",3424,"Standard-4","Finden Sie es richtig, wenn Schulen Dispense aus religiösen Gründen für einzelne Fächer oder Veranstaltungen bewilligen (z.B. Sport- oder Sexualkundeunterricht)?","Pensez-vous qu'il soit juste que les écoles octroient des dispenses scolaires en raison de motifs religieux pour certaines matières ou événements (p. ex. le sport ou l'éducation sexuelle)?","Are you in favour of schools granting/allowing exemptions from individual subjects or events for religious reasons (e.g. PE/swimming, sex education, etc.)?"
"21",3425,"Standard-4","Soll der Bund die finanzielle Unterstützung für die berufliche Weiterbildung und Umschulung ausbauen?","La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?","Should the federal government expand its financial support for continued education and retraining?"
"22",3426,"Standard-4","Gemäss dem Konzept der integrativen Schule werden Kinder mit Lernschwierigkeiten oder Behinderungen grundsätzlich in regulären Schulklassen unterrichtet. Befürworten Sie dies?","Le concept de l'école intégrative prévoit que les enfants ayant des difficultés d'apprentissage ou des handicaps soient scolarisé·e·s dans des classes ordinaires. Soutenez-vous cette approche?","According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?"
"23",3427,"Standard-4","Sollen Ausländer/-innen, die seit mindestens zehn Jahren in der Schweiz leben, das Stimm- und Wahlrecht auf Gemeindeebene erhalten?","Seriez-vous favorable à ce que le droit de vote et d'élection soit introduit au niveau communal pour les personnes étrangères qui résident en Suisse depuis au moins dix ans?","Should foreigners who have lived in Switzerland for at least ten years be given the right to vote and be elected at the municipal level?"
"24",3428,"Standard-4","Ist die Begrenzung der Einwanderung für Sie wichtiger als der Erhalt der Bilateralen Verträge mit der EU?","La limitation de l'immigration a-t-elle pour vous la priorité sur le maintien des accords bilatéraux avec l'UE?","Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?"
"25",3429,"Standard-4","Sollen Sans-Papiers einfacher einen geregelten Aufenthaltsstatus erhalten?","Les personnes sans-papiers devraient-elles pouvoir obtenir plus facilement un statut de séjour régularisé?","Should sans-papiers be able to obtain a regularized residence status more easily?"
"26",3430,"Standard-4","Befürworten Sie eine weitere Verschärfung des Asylrechts?","Êtes-vous en faveur d'un durcissement supplémentaire du droit à l'asile?","Are you in favor of further tightening the asylum law?"
"27",3431,"Standard-4","Sollen die Anforderungen für Einbürgerungen erhöht werden?","Les conditions de naturalisation devraient-elles être revues à la hausse?","Should the requirements for naturalization be increased?"
"28",3432,"Standard-4","Sollen gleichgeschlechtliche Paare in allen Bereichen die gleichen Rechte wie heterosexuelle Paare haben?","Les couples de même sexe devraient-ils avoir les mêmes droits dans tous les domaines que les couples hétérosexuels?","Should same-sex couples have the same rights as heterosexual couples in all areas?"
"29",3433,"Standard-4","Sollen die Regeln der Fortpflanzungsmedizin weiter gelockert werden?","La réglementation de la procréation médicalement assistée devrait-elle être assouplie?","Should the rules for reproductive medicine be further relaxed?"
"30",3434,"Standard-4","Befürworten Sie eine strengere Kontrolle der Lohngleichheit von Frauen und Männern?","Êtes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femmes?","Are you in favour of stricter monitoring of pay equity for women and men? "
"31",3435,"Standard-4","Würden Sie es befürworten, wenn in der Schweiz die direkte aktive Sterbehilfe durch eine/-n Arzt/Ärztin straffrei möglich wäre?","Seriez-vous favorable à ce qu'un médecin soit autorisé à administrer l'euthanasie active directe en Suisse?","Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?"
