Qu1,Qu2,Similarity
What is the recommended internal temperature for cooking chicken safely?,Who was the architect responsible for designing the Sydney Opera House?,0.08934806287288666
What is the recommended internal temperature for cooking chicken safely?,What is the standard procedure for replacing a flat tire on a car?,0.07336340099573135
How does asynchronous JavaScript handle non-blocking I/O operations?,Who was the architect responsible for designing the Sydney Opera House?,0.07139243185520172
What is the recommended internal temperature for cooking chicken safely?,How does asynchronous JavaScript handle non-blocking I/O operations?,0.03726349025964737
Who was the architect responsible for designing the Sydney Opera House?,What is the standard procedure for replacing a flat tire on a car?,0.036238353699445724
How does asynchronous JavaScript handle non-blocking I/O operations?,What is the standard procedure for replacing a flat tire on a car?,0.03169245645403862
What are the primary factors contributing to the decline of the bee population?,What is the standard procedure for replacing a flat tire on a car?,0.023947205394506454
What are the primary factors contributing to the decline of the bee population?,Who was the architect responsible for designing the Sydney Opera House?,-0.0022811098024249077
What is the recommended internal temperature for cooking chicken safely?,What are the primary factors contributing to the decline of the bee population?,-0.010632254183292389
How does asynchronous JavaScript handle non-blocking I/O operations?,What are the primary factors contributing to the decline of the bee population?,-0.08427108079195023
