Qu1,Qu2,Similarity
Should we raise taxes?,Should we not raise taxes?,0.9530643820762634
Should we raise taxes?,Do you agree that taxes should be increased?,0.8427408933639526
Should we not raise taxes?,Do you agree that taxes should be increased?,0.8202983140945435
Should we raise taxes?,Should we raise animals?,0.49042385816574097
Should we raise taxes?,Do you agree that money should be collected from people to support the functioning of the state?,0.4581412672996521
Should we not raise taxes?,Should we raise animals?,0.44869717955589294
Do you agree that taxes should be increased?,Do you agree that money should be collected from people to support the functioning of the state?,0.44535860419273376
Should we not raise taxes?,Do you agree that money should be collected from people to support the functioning of the state?,0.4383918046951294
Do you agree that taxes should be increased?,Should we raise animals?,0.35476118326187134
Do you agree that money should be collected from people to support the functioning of the state?,Should we raise animals?,0.33187854290008545
