model,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_interval,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank
E5-Instruct,0.6588941843815084,0.9730818750167952,0.8876276414670097,0.3,"[0.3, 0.4]",0.3,0.4,0.10000000000000003,1,2,1,1.3333333333333333
Jina v3,0.6565528978404851,0.9731235000110168,0.8873294960277264,0.6,"[0.5, 0.7]",0.5,0.7,0.19999999999999996,2,1,2,1.6666666666666667
Qwen3,0.6485483316000789,0.9715998461707094,0.8839977441811283,0.7,"[0.6, 0.8]",0.6,0.8,0.20000000000000007,3,3,3,3.0
SBERT,0.6153301808659193,0.9624568700361388,0.8670616190916403,1.1,"[0.9, 1.3]",0.9,1.3,0.4,4,4,4,4.0
GTE,0.6036820712990547,0.9595638532921028,0.8603010989285625,0.8,"[0.7, 1.0]",0.7,1.0,0.30000000000000004,5,5,5,5.0
BGE-M3,0.5904743547007177,0.955999845020196,0.8532865411949239,0.9,"[0.8, 1.1]",0.8,1.1,0.30000000000000004,6,6,6,6.0
Nomic v2,0.5901272209276228,0.9556984642036906,0.8529875563846723,1.1,"[0.9, 1.3]",0.9,1.3,0.4,7,7,7,7.0
E5,0.5578933002611947,0.946154452322309,0.835433276740886,0.5,"[0.5, 0.7]",0.5,0.7,0.19999999999999996,8,8,8,8.0
E5-Asym,0.5243261477285103,0.935020271518648,0.8182960517291155,0.6,"[0.5, 0.9]",0.5,0.9,0.4,9,9,9,9.0
E5-Asym-Instruct,0.487583948890965,0.9190932937336296,0.7943134951391736,0.7,"[0.6, 1.4]",0.6,1.4,0.7999999999999999,10,10,10,10.0
