question_id,question_text,category,group,is_mini,is_selected,max_abs_r_to_mini,mean_abs_r_to_mini,best_mini_partner,arccos_to_best_mini,max_abs_r_to_full_only,mean_abs_r_to_full_only,max_abs_r_overall,mean_abs_r_overall,n_high_corr_all,mds_x,mds_y,mds_stress
32214,"Do you support an increase in the retirement age (e.g., to 67)?",Welfare state & family,mini,True,False,0.28867053635885975,0.12368508138274065,32222,1.2779583577636613,0.42188450354484,0.1225167822613313,0.42188450354484,0.12297462921431601,1,-0.27334627063801287,-1.1676501804491928,734.2038424353796
32215,Should the federal government allocate more funding for health insurance premium subsidies?,Welfare state & family,mini,True,False,0.5230902377421909,0.2624378719047785,32219,1.020323534241736,0.5883191104768419,0.21630385921950834,0.5883191104768419,0.23438340473130334,22,-0.15371995807515978,-0.7938064973395648,734.2038424353796
32216,"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",Welfare state & family,full_only,False,False,0.06155251199642498,0.02452018394221053,32244,1.5092048809286658,0.2010193019537688,0.029621180925304223,0.2010193019537688,0.027553209175401373,0,1.1177961250577677,0.6375606223076796,734.2038424353796
32217,"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",Welfare state & family,full_only,False,False,0.42188450354484,0.15358483013665966,32214,1.1352734737075894,0.32187667171596757,0.12236167191070851,0.42188450354484,0.13501970902933735,6,0.038653382842760105,-1.151964849367286,734.2038424353796
32218,Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],Welfare state & family,full_only,False,False,0.44119465695408855,0.2850904295131762,32219,1.1138668628741013,0.48792728888982084,0.22434919067817882,0.48792728888982084,0.24897401723290752,25,0.0711353123112341,-0.41360612929543183,734.2038424353796
32219,Should the federal government provide more financial support for public housing construction? [BePart question],Welfare state & family,mini,True,False,0.5230902377421909,0.3242230340633089,32215,1.020323534241736,0.604714896916644,0.2561057573889026,0.604714896916644,0.2828003658153591,33,-0.35684759572067803,-0.41174999351031544,734.2038424353796
32220,Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Health,full_only,False,False,0.240991875348432,0.09973114326626999,32223,1.327408608706659,0.2671960726703041,0.10213115487980953,0.2671960726703041,0.10115817719864484,0,0.18912226362557674,1.1916820774870083,734.2038424353796
32221,Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,Health,full_only,False,False,0.34027143262371035,0.19502984345052637,32246,1.2235907867229245,0.33477345934928426,0.16102723036815558,0.34027143262371035,0.17481207350965725,4,0.6645602162280775,0.22289992661069635,734.2038424353796
32222,"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",Health,mini,True,False,0.3549792898284454,0.16734329710099763,32215,1.2079044125146914,0.38347309455059614,0.14224062388592146,0.38347309455059614,0.15207815798372157,4,-0.13463425700293802,-1.0842995214901108,734.2038424353796
32223,Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,Health,mini,True,False,0.35615943493436064,0.16047115837222373,32273,1.2066417523217123,0.30129613825882134,0.14934579427226058,0.35615943493436064,0.15370573425738127,2,-0.488774332482545,1.0537899367754124,734.2038424353796
