Qu1,Qu2,Cat1,Cat2,Distance
Should we raise taxes?,Do you agree that taxes should be increased?,ANCHOR,Easy Paraphrase,0.4196800777775979
Should we raise taxes?,Should we not raise taxes?,ANCHOR,Negation,0.43980969691877436
Should we raise taxes?,Do you agree that taxes should not be increased?,ANCHOR,Easy Paraphrase Negation,0.48983541721879814
Should we raise taxes?,Should we raise the minimum wage?,ANCHOR,Trap,0.4937298541244592
Should we raise taxes?,Do you agree that money should be collected from people to support the functioning of the state?,ANCHOR,Hard Paraphrase,0.5584241703024381
Should we raise taxes?,The government must collect more revenue from citizens to fund services.,ANCHOR,Hard Paraphrase,0.6038096677624687
Should we raise taxes?,Should we raise animals in our backyards?,ANCHOR,Trap,0.6151572527306804
Should we raise taxes?,We should implement a tax on plastic bags to reduce waste.,ANCHOR,Trap,0.6759383178931732
Should we raise taxes?,The government must not collect more revenue from citizens to fund services.,ANCHOR,Hard Paraphrase Negation,0.6771219878289045
Should we raise taxes?,I hate filing my taxes every year.,ANCHOR,Trap,0.6977527957424245
