model,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_interval,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank
Qwen3,0.5548855714564112,0.9443975703358226,0.8340945345101112,0.6,"[0.5, 0.9]",0.5,0.9,0.4,1,1,1,1.0
Jina v3,0.5479489677633231,0.9429750990751488,0.8316027325770066,0.6,"[0.5, 0.9]",0.5,0.9,0.4,2,2,2,2.0
E5-Instruct,0.5390743303202127,0.9394582478211088,0.8260817662672674,0.4,"[0.3, 0.6]",0.3,0.6,0.3,3,3,3,3.0
SBERT,0.5281608495641207,0.9347583689447078,0.819440945106243,1.1,"[0.9, 1.5]",0.9,1.5,0.6,4,4,4,4.0
GTE,0.5120563605776163,0.9286607311867652,0.809983968355813,0.8,"[0.6, 1.3]",0.6,1.3,0.7000000000000001,5,5,5,5.0
Nomic v2,0.5069161323979576,0.9273277260816432,0.8072157387881556,1.0,"[0.8, 1.8]",0.8,1.8,1.0,6,6,6,6.0
BGE-M3,0.5034237250079944,0.9239070172079836,0.803307542870166,0.9,"[0.7, 1.5]",0.7,1.5,0.8,7,7,7,7.0
E5,0.4790853328079273,0.9163559945177004,0.7912774667467642,0.5,"[0.4, 1.5]",0.4,1.5,1.1,9,8,8,8.333333333333334
E5-Asym,0.475533607400553,0.9155406920803016,0.7902265578649237,0.6,"[0.5, 2.4]",0.5,2.4,1.9,10,9,9,9.333333333333334
E5-Asym-Instruct,0.4801686658959161,0.9151319525634776,0.789406751493081,0.6,"[0.5, 1.5]",0.5,1.5,1.0,8,10,10,9.333333333333334
