model,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_interval,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank
E5-Instruct,0.5069722079063893,0.9275812765017898,0.8063295090983853,0.4,"[0.3, 0.7]",0.3,0.7,0.39999999999999997,1,1,1,1.0
Jina v3,0.4953940013795608,0.9225841728604528,0.7996379993530469,0.6,"[0.5, 1.1]",0.5,1.1,0.6000000000000001,2,2,2,2.0
GTE,0.4871895719137825,0.9197179097136284,0.7964385130183786,0.8,"[0.7, 2.1]",0.7,2.1,1.4000000000000001,4,3,3,3.3333333333333335
Qwen3,0.4899288537385867,0.9187128995080126,0.7938230873635765,0.7,"[0.5, 1.5]",0.5,1.5,1.0,3,4,4,3.6666666666666665
BGE-M3,0.4814596847670956,0.9168672903511212,0.7924357249756806,1.2,"[0.7, 2.7]",0.7,2.7,2.0,5,5,5,5.0
E5,0.475202982691448,0.9141176756132228,0.7883442286653247,0.5,"[0.4, 1.4]",0.4,1.4,0.9999999999999999,7,6,6,6.333333333333333
E5-Asym-Instruct,0.4799210052467846,0.9139636481018468,0.7882309850223892,0.6,"[0.5, 1.5]",0.5,1.5,1.0,6,7,7,6.666666666666667
SBERT,0.4723742725088566,0.9122176811630924,0.7856326280901424,1.5,"[0.8, 3.0]",0.8,3.0,2.2,8,8,8,8.0
Nomic v2,0.469332647365726,0.9108430510309652,0.7837775972822479,1.0,"[0.8, 3.0]",0.8,3.0,2.2,9,9,9,9.0
E5-Asym,0.4608922204129579,0.9096336727167008,0.7802843292025269,0.8,"[0.1, 3.0]",0.1,3.0,2.9,10,10,10,10.0
