Qu1,Qu2,Similarity
"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?","Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.8990)
"Should the federal government spend more or less in the area of ""National defence""?","Should the federal government spend more or less in the area of ""Public security""?",tensor(0.7734)
"Should the federal government spend more or less in the area of ""Development assistance""?","Should the federal government spend more or less in the area of ""Social services""?",tensor(0.7486)
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.7381)
"Should the federal government spend more or less in the area of ""Development assistance""?","Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.7353)
"Should the federal government spend more or less in the area of ""Public security""?","Should the federal government spend more or less in the area of ""Social services""?",tensor(0.7166)
"Should the federal government spend more or less in the area of ""Development assistance""?","Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.7153)
An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,tensor(0.7056)
Should Switzerland start membership negotiations with the EU?,Should Switzerland strive for a free trade agreement with the USA?,tensor(0.6972)
"Should the federal government spend more or less in the area of ""Development assistance""?","Should the federal government spend more or less in the area of ""National defence""?",tensor(0.6892)
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?","Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.6836)
"Should Switzerland terminate the Schengen Agreement with the EU, in order to reintroduce more security checks directly on the border?",Should Switzerland start membership negotiations with the EU?,tensor(0.6674)
Should the federal government expand its financial support for continued education and retraining?,"Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.6671)
"Should the federal government spend more or less in the area of ""Development assistance""?","Should the federal government spend more or less in the area of ""Public security""?",tensor(0.6634)
"Should the federal government spend more or less in the area of ""Education and research""?","Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.6627)
"Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.6611)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.6566)
"Should the federal government spend more or less in the area of ""National defence""?","Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.6550)
Do you support cantonal efforts to reduce social welfare benefits?,Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,tensor(0.6526)
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.6445)
"Should the federal government spend more or less in the area of ""Social services""?","Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.6432)
"Should the federal government spend more or less in the area of ""National defence""?","Should the federal government spend more or less in the area of ""Social services""?",tensor(0.6403)
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?","Should the federal government spend more or less in the area of ""Social services""?",tensor(0.6366)
